연도,시도,입학자수,,전문대학,,교육대학,,일반대학,,방송통신대학,,산업대학,,기술대학,,각종학교,,원격및사이버대학,,사내대학,,전공대학,,기능대학,,대학원,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,계,,석사,,박사,
,,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여
2009,부산,62807,30136,16645,8652,525,344,35892,16281,0,0,0,0,0,0,0,0,1164,783,0,0,0,0,0,0,8581,4076,7139,3522,1442,554
2010,부산,64835,31644,18022,9361,493,319,36533,17025,0,0,0,0,0,0,0,0,1036,690,0,0,0,0,0,0,8751,4249,7233,3641,1518,608
2011,부산,65498,32034,18615,9471,443,302,36388,17280,0,0,0,0,0,0,0,0,1193,807,0,0,0,0,486,17,8373,4157,6916,3552,1457,605
2012,부산,64161,30851,17481,8868,392,255,36197,16855,0,0,0,0,0,0,0,0,1166,825,0,0,0,0,519,15,8406,4033,6740,3368,1666,665
2013,부산,62301,30247,17042,8812,387,256,35448,16763,0,0,0,0,0,0,0,0,555,409,0,0,0,0,551,21,8318,3986,6679,3338,1639,648
2014,부산,62575,30667,16407,8436,385,248,35208,16663,0,0,0,0,0,0,0,0,1336,1006,0,0,0,0,551,25,8688,4289,6919,3551,1769,738
2015,부산,60081,29479,15720,7865,388,256,33580,16208,0,0,0,0,0,0,0,0,1194,911,0,0,0,0,563,17,8636,4222,6994,3528,1642,694
2016,부산,58479,29567,14977,7683,387,250,32956,16444,0,0,0,0,0,0,0,0,1196,866,0,0,0,0,562,16,8401,4308,6619,3531,1782,777
2017,부산,56260,28233,13731,7105,383,249,32459,15962,0,0,0,0,0,0,0,0,1105,878,0,0,0,0,549,13,8033,4026,6349,3312,1684,714
2018,부산,56307,28347,13521,7112,383,247,32754,16068,0,0,0,0,0,0,0,0,1180,880,0,0,0,0,526,11,7943,4029,6281,3278,1662,751
2019,부산,56069,28069,13117,6795,385,249,32774,16026,0,0,0,0,0,0,0,0,1165,854,0,0,0,0,520,14,8108,4131,6255,3274,1853,857
